,HTML_ID,TAG_NAME,ATTRIBUTE_ID,ATTRIBUTE_NAME,ATTRIBUTE_CLASS,ATTRIBUTE_PLACEHOLDER,IN_FORM,TAG_DEPTH,TAG_STRING,LABEL,ATTRIBUTE_ARIALABELEDBY,ATTRIBUTE_ROLE,ATTRIBUTE_TYPE,ATTRIBUTE_VALUE,LOGIN_URL
2655,31,a,None,None,None,None,FALSE,12,Debit & Prepaid Cards,0,None,None,None,None,http://www.regions.com/
2656,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2657,31,a,None,None,None,None,FALSE,12,Online & Mobile Banking,0,None,None,None,None,http://www.regions.com/
2658,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2659,31,a,None,None,None,None,FALSE,12,Credit Cards,0,None,None,None,None,http://www.regions.com/
2660,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2661,31,a,None,None,None,None,FALSE,12,Rewards,0,None,None,None,None,http://www.regions.com/
2662,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2663,31,a,None,None,None,None,FALSE,12,Now Banking & Cash Solutions,0,None,None,None,None,http://www.regions.com/
2664,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2665,31,a,None,None,None,None,FALSE,12,Priority Banking,0,None,None,None,None,http://www.regions.com/
2666,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2667,31,a,None,None,None,None,FALSE,12,Safe Deposit Box,0,None,None,None,None,http://www.regions.com/
2668,31,span,None,None,['regions-hero-callout-title'],None,FALSE,12,Which Regions Checking Account is Right for You?,0,None,None,None,None,http://www.regions.com/
2669,31,a,None,None,['regions-hero-callout-action-button'],None,FALSE,12,Learn More,0,None,None,None,None,http://www.regions.com/
2670,31,a,None,None,['regions-hero-callout-alt'],None,FALSE,10,,0,None,None,None,None,http://www.regions.com/
2671,31,span,None,None,['regions-hero-callout-title'],None,FALSE,12,Opening a Checking Account Online,0,None,None,None,None,http://www.regions.com/
2672,31,span,None,None,['regions-hero-callout-subtitle'],None,FALSE,12,,0,None,None,None,None,http://www.regions.com/
2673,31,li,None,None,['regions-accordion-item'],None,FALSE,8,,0,None,None,None,None,http://www.regions.com/
2674,31,a,None,None,['regions-accordion-title'],None,FALSE,9,,0,None,None,None,None,http://www.regions.com/
2675,31,span,None,None,['regions-accessible-text'],None,FALSE,10,. Click to open menu,0,None,None,None,None,http://www.regions.com/
2676,31,ul,None,None,['regions-hero-links-list'],None,FALSE,10,,0,None,None,None,None,http://www.regions.com/
2677,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2678,31,a,None,None,None,None,FALSE,12,Savings,0,None,None,None,None,http://www.regions.com/
2679,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
2680,31,a,None,None,None,None,FALSE,12,Money Market,0,None,None,None,None,http://www.regions.com/
2681,31,li,None,None,None,None,FALSE,11,,0,None,None,None,None,http://www.regions.com/
